term	sentence	class	how_much_emotion_is_conveyed
abuse	Her husband often <b>abuses</b> alcohol.	metaphorical	the focus word conveys some emotion
ascend	Inheritance may not <b>ascend</b> linearly.	metaphorical	the focus word conveys no emotion
shot	He <b>shot</b> away at the men.	literal	the focus word conveys no emotion
departed	The spaceship <b>departed</b> out into space.	literal	the focus word conveys no emotion
blister	The Senator <b>blistered</b> the administration in his speech on Friday.	metaphorical	the focus word conveys some emotion
improve	The tax cut will <b>improve</b> the economy.	literal	the focus word conveys no emotion
circulate	She <b>circulates</b> among royalty.	metaphorical	the focus word conveys no emotion
cloud	Their faces were <b>clouded</b> with sadness.	metaphorical	the focus word conveys some emotion
impaired	The stroke <b>impaired</b> memories of her youth.	literal	the focus word conveys some emotion
design	She <b>designed</b> to go far in the world of business.	metaphorical	the focus word conveys no emotion
drain	Life in the camp <b>drained</b> him.	metaphorical	the focus word conveys some emotion
drain	The exercise class <b>drains</b> me of energy.	metaphorical	the focus word conveys some emotion
use up	One should not <b>use up</b> one's savings.	literal	the focus word conveys no emotion
exhaust	We have <b>exhausted</b> the food supplies.	metaphorical	the focus word conveys some emotion
have	Many of the laboratory animals <b>have</b> the trait.	literal	the focus word conveys no emotion
fasten	They <b>fastened</b> various nicknames to each other.	metaphorical	the focus word conveys no emotion
destroy	These events could <b>destroy</b> the balance of power.	literal	the focus word conveys some emotion
fracture	This writer really <b>fractures</b> the language.	metaphorical	the focus word conveys some emotion
infer	I <b>infer</b> you have not done your homework.	literal	the focus word conveys no emotion
protect	This vaccine will <b>protect</b> you against infection.	literal	the focus word conveys some emotion
gutter	Tears <b>guttered</b> down her face.	metaphorical	the focus word conveys some emotion
lie	The fate of Bosnia <b>lies</b> in the hands of the West.	metaphorical	the focus word conveys no emotion
lock	He <b>locked</b> his hands around her neck.	metaphorical	the focus word conveys some emotion
together	They were <b>together</b> in embrace.	literal	the focus word conveys no emotion
lock	He was <b>locked</b> in a laughing fit.	metaphorical	the focus word conveys some emotion
peep	The new moon <b>peeped</b> through the tree tops.	metaphorical	the focus word conveys no emotion
advance into	The hikers did not manage to <b>advance into</b> the dense forest.	literal	the focus word conveys no emotion
affected	The cold <b>affected</b> her bones.	literal	the focus word conveys no emotion
pierce	The scream <b>pierced</b> the night.	metaphorical	the focus word conveys some emotion
invested	We <b>invested</b> money into the education of our children.	literal	the focus word conveys no emotion
crowding	People were <b>crowding</b> out of the theater.	literal	the focus word conveys no emotion
recapture	She could not <b>recapture</b> that feeling of happiness.	metaphorical	the focus word conveys some emotion
change	She had to <b>change</b> her image to please the electorate in her home state.	literal	the focus word conveys no emotion
moved	The tornado <b>moved</b> along the coast.	literal	the focus word conveys no emotion
rip	The candidate <b>ripped</b> into his opponent mercilessly.	metaphorical	the focus word conveys some emotion
disturb	She wanted to <b>disturb</b> his composure.	literal	the focus word conveys some emotion
ruffle	This play is going to <b>ruffle</b> some people.	metaphorical	the focus word conveys some emotion
sell	The French try to <b>sell</b> us their image as great lovers.	metaphorical	the focus word conveys no emotion
shake	I couldn't <b>shake</b> the car that was following me.	metaphorical	the focus word conveys no emotion
weakened	The bad news <b>weakened</b> her hopes.	literal	the focus word conveys some emotion
shed	He <b>shed</b> his image as a pushy boss.	metaphorical	the focus word conveys no emotion
shipwreck	You have <b>shipwrecked</b> my career.	metaphorical	the focus word conveys some emotion
communicated	He <b>communicated</b> his disapproval with a dismissive hand gesture.	literal	the focus word conveys no emotion
splash	The mountain was <b>splashed</b> with snow.	metaphorical	the focus word conveys no emotion
stagger	She was <b>staggered</b> with bills after she tried to rebuild her house following the earthquake.	metaphorical	the focus word conveys some emotion
stoop	I won't <b>stoop</b> to reading other people's mail.	metaphorical	the focus word conveys some emotion
talk	Actions <b>talk</b> louder than words.	metaphorical	the focus word conveys no emotion
tax	You are <b>taxing</b> my patience.	metaphorical	the focus word conveys some emotion
displaced	The war <b>displaced</b> many people.	literal	the focus word conveys no emotion
uproot	The vestiges of political democracy were soon uprooted.	metaphorical	the focus word conveys no emotion
inflicted	The principal <b>inflicted</b> his rage on the students.	literal	the focus word conveys some emotion
afflicted	He was <b>afflicted</b> with a terrible illness that killed him quickly.	literal	the focus word conveys some emotion
waste	He <b>wasted</b> his inheritance on his insincere friends.	metaphorical	the focus word conveys some emotion
wrestle	He <b>wrestled</b> all his life with his feeling of inferiority.	metaphorical	the focus word conveys some emotion
pondered	I <b>pondered</b> this decision for years.	literal	the focus word conveys no emotion
drinks	Her husband often <b>drinks</b> alcohol.	literal	the focus word conveys no emotion
